case_id,customer_id,plan_name,amount_inr,payment_method,failure_reason,decline_type,failure_date,prior_retry_count,days_since_signup,_true_recover_prob,root_cause_category,is_recoverable,recommended_action,confidence,reasoning
CASE0001,CUST1001,Pro Monthly,199,Debit Card,expired_card,hard_decline,2026-07-15,0,382,0.15,expired_or_invalid_instrument,True,send_reminder_update_method,0.9,Card has expired; customer needs to update payment method.
CASE0002,CUST1002,Team Monthly,299,Wallet,expired_card,hard_decline,2026-07-03,0,52,0.15,expired_or_invalid_instrument,True,send_reminder_update_method,0.9,Card has expired; customer needs to update payment method.
CASE0003,CUST1003,Premium Monthly,999,Wallet,card_reported_stolen,hard_decline,2026-07-02,2,106,0.0,unrecoverable,False,stop_no_action,0.9,Card reported stolen; no legitimate retry path.
CASE0004,CUST1004,Team Monthly,4999,Credit Card,network_timeout,soft_decline,2026-08-07,1,8,0.7,temporary_bank_issue,True,retry_now,0.9,Transient network error; safe to retry immediately.
CASE0005,CUST1005,Pro Annual,4999,Debit Card,bank_server_error,soft_decline,2026-07-10,0,395,0.6,temporary_bank_issue,True,retry_now,0.9,Bank-side server error; safe to retry immediately.
CASE0006,CUST1006,Team Monthly,299,UPI,wrong_otp,soft_decline,2026-07-07,1,181,0.4,user_action_needed,True,send_reminder_update_method,0.9,"OTP entry issue; retry once, then prompt customer."
CASE0007,CUST1007,Team Monthly,1499,UPI,daily_limit_exceeded,soft_decline,2026-08-04,0,198,0.5,user_action_needed,True,retry_in_3_days,0.9,Daily transaction limit hit; retry after reset.
CASE0008,CUST1008,Pro Annual,1499,Wallet,expired_card,hard_decline,2026-08-06,0,365,0.15,expired_or_invalid_instrument,True,send_reminder_update_method,0.9,Card has expired; customer needs to update payment method.
CASE0009,CUST1009,Pro Annual,199,Credit Card,expired_card,hard_decline,2026-07-06,0,56,0.15,expired_or_invalid_instrument,True,send_reminder_update_method,0.9,Card has expired; customer needs to update payment method.
CASE0010,CUST1010,Pro Annual,1499,Netbanking,account_closed,hard_decline,2026-07-11,1,186,0.0,unrecoverable,False,stop_no_action,0.9,Account closed; nothing to recover.
CASE0011,CUST1011,Premium Monthly,1499,UPI,card_reported_stolen,hard_decline,2026-08-10,0,278,0.0,unrecoverable,False,stop_no_action,0.9,Card reported stolen; no legitimate retry path.
CASE0012,CUST1012,Team Monthly,499,Netbanking,card_reported_stolen,hard_decline,2026-07-18,2,357,0.0,unrecoverable,False,stop_no_action,0.9,Card reported stolen; no legitimate retry path.
CASE0013,CUST1013,Basic Monthly,999,Debit Card,network_timeout,soft_decline,2026-07-15,0,166,0.7,temporary_bank_issue,True,retry_now,0.9,Transient network error; safe to retry immediately.
CASE0014,CUST1014,Pro Monthly,1499,UPI,account_closed,hard_decline,2026-08-06,2,166,0.0,unrecoverable,False,stop_no_action,0.9,Account closed; nothing to recover.
CASE0015,CUST1015,Team Monthly,9999,Netbanking,card_reported_stolen,hard_decline,2026-07-10,1,76,0.0,unrecoverable,False,stop_no_action,0.9,Card reported stolen; no legitimate retry path.
CASE0016,CUST1016,Team Monthly,1499,Wallet,card_reported_stolen,hard_decline,2026-08-07,1,190,0.0,unrecoverable,False,stop_no_action,0.9,Card reported stolen; no legitimate retry path.
CASE0017,CUST1017,Team Monthly,499,Wallet,card_reported_stolen,hard_decline,2026-07-06,0,61,0.0,unrecoverable,False,stop_no_action,0.9,Card reported stolen; no legitimate retry path.
CASE0018,CUST1018,Premium Monthly,499,Netbanking,bank_server_error,soft_decline,2026-07-05,1,200,0.6,temporary_bank_issue,True,retry_now,0.9,Bank-side server error; safe to retry immediately.
