case_id,customer_id,amount_inr,failure_reason,root_cause_category,llm_recommended_action,final_action,stopping_rule_triggered,stopping_rule_reason,diagnosis_reasoning,outcome,recovered_amount_inr
CASE0001,CUST1001,199.0,expired_card,expired_or_invalid_instrument,send_reminder_update_method,send_reminder_update_method,False,,Card has expired; customer needs to update payment method.,attempt_failed,0.0
CASE0002,CUST1002,299.0,expired_card,expired_or_invalid_instrument,send_reminder_update_method,send_reminder_update_method,False,,Card has expired; customer needs to update payment method.,recovered,299.0
CASE0003,CUST1003,999.0,card_reported_stolen,unrecoverable,stop_no_action,stop_no_action,False,,Card reported stolen; no legitimate retry path.,no_action_taken,0.0
CASE0004,CUST1004,4999.0,network_timeout,temporary_bank_issue,retry_now,retry_in_3_days,True,"override: consecutive immediate retries blocked, spacing out attempt",Transient network error; safe to retry immediately.,recovered,4999.0
CASE0005,CUST1005,4999.0,bank_server_error,temporary_bank_issue,retry_now,retry_now,False,,Bank-side server error; safe to retry immediately.,recovered,4999.0
CASE0006,CUST1006,299.0,wrong_otp,user_action_needed,send_reminder_update_method,send_reminder_update_method,False,,"OTP entry issue; retry once, then prompt customer.",recovered,299.0
CASE0007,CUST1007,1499.0,daily_limit_exceeded,user_action_needed,retry_in_3_days,retry_in_3_days,False,,Daily transaction limit hit; retry after reset.,recovered,1499.0
CASE0008,CUST1008,1499.0,expired_card,expired_or_invalid_instrument,send_reminder_update_method,send_reminder_update_method,False,,Card has expired; customer needs to update payment method.,recovered,1499.0
CASE0009,CUST1009,199.0,expired_card,expired_or_invalid_instrument,send_reminder_update_method,send_reminder_update_method,False,,Card has expired; customer needs to update payment method.,attempt_failed,0.0
CASE0010,CUST1010,1499.0,account_closed,unrecoverable,stop_no_action,stop_no_action,False,,Account closed; nothing to recover.,no_action_taken,0.0
CASE0011,CUST1011,1499.0,card_reported_stolen,unrecoverable,stop_no_action,stop_no_action,False,,Card reported stolen; no legitimate retry path.,no_action_taken,0.0
CASE0012,CUST1012,499.0,card_reported_stolen,unrecoverable,stop_no_action,stop_no_action,False,,Card reported stolen; no legitimate retry path.,no_action_taken,0.0
CASE0013,CUST1013,999.0,network_timeout,temporary_bank_issue,retry_now,retry_now,False,,Transient network error; safe to retry immediately.,recovered,999.0
CASE0014,CUST1014,1499.0,account_closed,unrecoverable,stop_no_action,stop_no_action,False,,Account closed; nothing to recover.,no_action_taken,0.0
CASE0015,CUST1015,9999.0,card_reported_stolen,unrecoverable,stop_no_action,stop_no_action,False,,Card reported stolen; no legitimate retry path.,no_action_taken,0.0
CASE0016,CUST1016,1499.0,card_reported_stolen,unrecoverable,stop_no_action,stop_no_action,False,,Card reported stolen; no legitimate retry path.,no_action_taken,0.0
CASE0017,CUST1017,499.0,card_reported_stolen,unrecoverable,stop_no_action,stop_no_action,False,,Card reported stolen; no legitimate retry path.,no_action_taken,0.0
CASE0018,CUST1018,499.0,bank_server_error,temporary_bank_issue,retry_now,retry_in_3_days,True,"override: consecutive immediate retries blocked, spacing out attempt",Bank-side server error; safe to retry immediately.,recovered,499.0
CASE0019,CUST1019,9999.0,daily_limit_exceeded,user_action_needed,retry_in_3_days,retry_in_3_days,False,,Daily transaction limit hit; retry after reset.,recovered,9999.0
CASE0020,CUST1020,1499.0,expired_card,expired_or_invalid_instrument,send_reminder_update_method,send_reminder_update_method,False,,Card has expired; customer needs to update payment method.,recovered,1499.0
CASE0021,CUST1021,199.0,issuer_declined_generic,temporary_bank_issue,retry_now,retry_now,False,,Generic issuer decline; often resolves on retry.,attempt_failed,0.0
CASE0022,CUST1022,1499.0,expired_card,expired_or_invalid_instrument,send_reminder_update_method,send_reminder_update_method,False,,Card has expired; customer needs to update payment method.,attempt_failed,0.0
CASE0023,CUST1023,199.0,bank_server_error,temporary_bank_issue,retry_now,retry_now,False,,Bank-side server error; safe to retry immediately.,recovered,199.0
CASE0024,CUST1024,1499.0,wrong_otp,user_action_needed,send_reminder_update_method,send_reminder_update_method,False,,"OTP entry issue; retry once, then prompt customer.",recovered,1499.0
CASE0025,CUST1025,9999.0,expired_card,expired_or_invalid_instrument,send_reminder_update_method,send_reminder_update_method,False,,Card has expired; customer needs to update payment method.,attempt_failed,0.0
CASE0026,CUST1026,499.0,issuer_declined_generic,temporary_bank_issue,retry_now,retry_in_3_days,True,"override: consecutive immediate retries blocked, spacing out attempt",Generic issuer decline; often resolves on retry.,attempt_failed,0.0
